date,EST.B.EU000A2X2A25.CM,EST.B.EU000A2X2A25.NB,EST.B.EU000A2X2A25.NT,EST.B.EU000A2X2A25.R25,EST.B.EU000A2X2A25.R75,EST.B.EU000A2X2A25.RP,EST.B.EU000A2X2A25.TT,EST.B.EU000A2X2A25.VL,EST.B.EU000A2X2A25.WT
,Calculation method,Number of active banks,Number of transactions,Rate at 25th percentile of volume,Rate at 75th percentile of volume,Publication type,Total volume,Share of volume of the 5 largest active banks,Volume-weighted trimmed mean rate
Collection:,Other (V),Summed through period (S),Summed through period (S),Other (V),Other (V),Other (V),Summed through period (S),Other (V),Average of observations through period (A)
Period\Unit:,[Not applicable ],[Not applicable ],[Not applicable ],[Percent ],[Percent ],[Not applicable ],[Millions of Euro],[Percent ],[Percent ]
2023-05-16,0,33,734,3.10,3.17,0,66147,49,3.147
2023-05-15,0,32,725,3.10,3.17,0,69394,48,3.145
2023-05-12,0,32,697,3.10,3.18,0,69524,48,3.148
2023-05-11,0,33,707,3.10,3.17,0,73512,48,3.145
2023-05-10,0,33,707,3.10,3.18,0,73385,48,3.145
2023-05-09,0,33,677,2.85,2.92,0,71757,48,2.894
2023-05-08,0,32,527,2.85,2.92,0,60288,42,2.892
2023-05-05,0,32,541,2.85,2.93,0,59669,49,2.898
2023-05-04,0,33,678,2.85,2.92,0,72042,48,2.897
2023-05-03,0,32,677,2.85,2.92,0,67244,49,2.896
2023-05-02,0,33,675,2.85,2.93,0,65823,49,2.896
2023-04-28,0,31,606,2.85,2.93,0,51996,55,2.894
2023-04-27,0,33,665,2.85,2.93,0,57355,55,2.900
2023-04-26,0,33,686,2.85,2.93,0,61905,54,2.900
2023-04-25,0,31,704,2.85,2.93,0,62812,52,2.901
2023-04-24,0,33,647,2.87,2.93,0,59736,51,2.905
2023-04-21,0,32,610,2.86,2.93,0,59794,52,2.902
2023-04-20,0,31,642,2.87,2.93,0,62856,51,2.904
2023-04-19,0,32,697,2.87,2.93,0,64902,52,2.902
2023-04-18,0,32,739,2.87,2.93,0,68036,50,2.901
2023-04-17,0,31,655,2.85,2.93,0,63547,51,2.897
2023-04-14,0,32,617,2.85,2.93,0,59787,53,2.896
2023-04-13,0,31,650,2.85,2.93,0,63211,51,2.899
2023-04-12,0,33,712,2.85,2.92,0,67556,49,2.898
2023-04-11,0,31,656,2.85,2.93,0,65884,50,2.897
2023-04-06,0,30,614,2.85,2.93,0,60428,51,2.903
2023-04-05,0,32,665,2.87,2.93,0,62246,50,2.902
2023-04-04,0,33,673,2.85,2.92,0,62307,48,2.898
2023-04-03,0,33,701,2.85,2.92,0,58854,51,2.898
2023-03-31,0,31,651,2.85,2.93,0,52387,53,2.884
2023-03-30,0,32,698,2.85,2.92,0,55196,50,2.896
2023-03-29,0,33,730,2.85,2.92,0,58622,47,2.894
2023-03-28,0,33,740,2.85,2.92,0,62061,48,2.894
2023-03-27,0,31,665,2.85,2.92,0,58900,52,2.898
2023-03-24,0,32,710,2.86,2.92,0,63790,49,2.899
2023-03-23,0,33,750,2.86,2.92,0,66025,49,2.899
2023-03-22,0,34,742,2.86,2.92,0,73949,48,2.898
2023-03-21,0,33,731,2.37,2.42,0,72609,50,2.399
2023-03-20,0,31,709,2.36,2.42,0,71668,49,2.398
2023-03-17,0,33,674,2.38,2.42,0,63966,52,2.402
2023-03-16,0,33,710,2.37,2.42,0,65800,49,2.399
2023-03-15,0,32,666,2.38,2.42,0,60261,51,2.400
2023-03-14,0,34,695,2.38,2.42,0,65706,49,2.401
2023-03-13,0,33,696,2.38,2.42,0,68690,49,2.401
2023-03-10,0,33,682,2.38,2.42,0,61813,49,2.403
2023-03-09,0,33,701,2.38,2.42,0,65684,50,2.401
2023-03-08,0,33,666,2.37,2.42,0,62619,51,2.399
2023-03-07,0,33,683,2.37,2.42,0,65310,50,2.398
2023-03-06,0,33,703,2.37,2.42,0,65445,49,2.399
2023-03-03,0,34,669,2.37,2.42,0,58001,48,2.400
2023-03-02,0,32,663,2.38,2.42,0,57449,51,2.399
2023-03-01,0,32,687,2.38,2.42,0,56327,50,2.398
2023-02-28,0,33,656,2.35,2.42,0,52766,50,2.388
2023-02-27,0,31,685,2.37,2.42,0,56732,50,2.398
2023-02-24,0,32,690,2.37,2.42,0,58604,50,2.398
2023-02-23,0,33,701,2.38,2.42,0,59267,50,2.399
2023-02-22,0,33,710,2.38,2.42,0,62883,48,2.399
2023-02-21,0,31,699,2.38,2.42,0,62118,48,2.398
2023-02-20,0,32,680,2.38,2.42,0,61509,48,2.400
2023-02-17,0,32,691,2.38,2.42,0,61164,48,2.398
2023-02-16,0,32,668,2.38,2.42,0,60913,50,2.400
2023-02-15,0,32,713,2.38,2.43,0,64905,52,2.405
2023-02-14,0,32,706,2.38,2.42,0,66769,49,2.400
2023-02-13,0,32,698,2.38,2.42,0,64095,48,2.400
2023-02-10,0,32,671,2.38,2.42,0,62565,49,2.401
2023-02-09,0,31,680,2.38,2.42,0,63901,50,2.401
2023-02-08,0,32,715,2.38,2.42,0,67762,47,2.401
2023-02-07,0,32,715,1.88,1.92,0,65486,46,1.902
2023-02-06,0,33,677,1.88,1.92,0,62633,48,1.901
2023-02-03,0,32,659,1.88,1.92,0,60604,48,1.898
2023-02-02,0,32,694,1.88,1.92,0,62016,50,1.902
2023-02-01,0,32,692,1.88,1.92,0,61389,50,1.901
2023-01-31,0,32,639,1.87,1.92,0,53564,51,1.894
2023-01-30,0,32,675,1.88,1.92,0,56238,53,1.904
2023-01-27,0,31,654,1.88,1.93,0,55529,53,1.906
2023-01-26,0,32,652,1.88,1.92,0,55101,51,1.904
2023-01-25,0,33,650,1.88,1.92,0,54724,52,1.904
2023-01-24,0,33,665,1.88,1.92,0,59356,54,1.904
