Date,Open,High,Low,Close,Adj Close,Volume
2020-04-29,4.994000,5.004000,4.994000,5.004000,5.004000,0
2020-04-30,4.988000,5.022000,4.988000,5.022000,5.022000,0
2020-05-04,4.994600,5.012000,4.992100,4.993400,4.993400,0
2020-05-05,5.010600,5.010600,4.989400,4.998100,4.998100,550
2020-05-06,4.993400,5.013800,4.992000,4.994000,4.994000,280
2020-05-07,4.986400,5.010200,4.986400,5.010200,5.010200,800
2020-05-08,5.020200,5.041800,5.020200,5.021600,5.021600,800
2020-05-11,5.008600,5.020600,5.002200,5.002200,5.002200,0
2020-05-12,4.995900,4.997900,4.991100,4.994900,4.994900,0
2020-05-13,4.993100,5.024600,4.993100,4.999300,4.999300,2000
2020-05-14,5.032000,5.032000,5.003000,5.003000,5.003000,220
2020-05-15,5.026000,5.026000,5.010600,5.010600,5.010600,0
2020-05-18,5.009000,5.024000,5.009000,5.020800,5.020800,0
2020-05-19,5.022600,5.030400,5.015200,5.026000,5.026000,0
2020-05-20,5.032200,5.032200,5.032200,5.032200,5.032200,0
2020-05-21,5.055000,5.059600,5.053600,5.059600,5.059600,0
2020-05-22,5.068600,5.068600,5.043000,5.044200,5.044200,0
2020-05-25,5.043600,5.051000,5.043000,5.044000,5.044000,0
2020-05-26,5.033200,5.048200,5.033200,5.041600,5.041600,0
2020-05-27,5.036600,5.059600,5.036600,5.055600,5.055600,1000
2020-05-28,5.047600,5.070000,5.046000,5.064200,5.064200,0
2020-05-29,5.079400,5.090000,5.076000,5.084000,5.084000,0
2020-06-02,5.091200,5.101800,5.080000,5.080000,5.080000,700
2020-06-03,5.063200,5.076000,5.054600,5.054600,5.054600,9800
2020-06-04,5.056000,5.056000,5.033600,5.033600,5.033600,0
2020-06-05,5.024600,5.024600,5.012000,5.012000,5.012000,2412
2020-06-08,5.025600,5.031200,5.022000,5.030200,5.030200,2000
2020-06-09,5.040400,5.048600,5.040200,5.048600,5.048600,0
2020-06-10,5.050600,5.064000,5.050000,5.064000,5.064000,0
